fips,nameState,nameCounty,abState,SC,PVID,PR,PM,CF,ResourcesForRecovery,abs_Resilience,rel_Resilience,Resistance,Recovery,CFend
1001,Alabama,Autauga County,AL,0.497647134162903,0.551311282087451,0.566332074530037,0.57611012955592,0.472073447539455,0.386452841651872,0.440297840961933,0.932689273791732,0.834232366930089,0.0824775220654953,0.465420459981791
1003,Alabama,Baldwin County,AL,0.462335756621032,0.495819209185367,0.650568880204073,0.649645151150502,0.489997377648932,0.520135632239804,0.459138760408238,0.937022893084128,0.838462933562367,0.0865243163724472,0.484213281272086
1005,Alabama,Barbour County,AL,0.383754625102839,0.382095877015112,0.492479506577272,0.501592121509,0.45291016938613,0.402663810289235,0.411311760198977,0.908153068756361,0.791047719194545,0.0749391043657485,0.442132537196928
1007,Alabama,Bibb County,AL,0.401222641097298,0.506440510679779,0.460229051435133,0.507756341588835,0.465102077492474,0.385768265960933,0.42642937928115,0.916851160029596,0.812467367339879,0.0740648148148148,0.454895915471048
1009,Alabama,Blount County,AL,0.495537931045073,0.530920302010268,0.551530926425412,0.513655963122049,0.441023911779205,0.311547999318271,0.408156821039419,0.925475490416853,0.819640404802168,0.0807979797979798,0.433810799126354
1011,Alabama,Bullock County,AL,0.521549638426811,0.394236384438394,0.262509234691707,0.419900325484023,0.397206746777472,0.349963836438561,0.353007165165654,0.88872399079218,0.775362531694956,0.0635385886315254,0.3822399257082
1013,Alabama,Butler County,AL,0.476146291931047,0.387395242990278,0.467376976160156,0.475609757029356,0.422266742753354,0.446857653428461,0.382877155720719,0.90671870871052,0.787602140622066,0.0749643874643875,0.412137381432289
1015,Alabama,Calhoun County,AL,0.46924966657323,0.440225409502831,0.627539402512783,0.522381376972608,0.456892127077843,0.317613007086016,0.421763550196362,0.923114068289699,0.807141903478456,0.0843883191965228,0.449870084712488
1017,Alabama,Chambers County,AL,0.471353836489103,0.406210529360394,0.523982821310421,0.475898004509199,0.435651127626542,0.324304188180828,0.397174016522378,0.911679073772194,0.791895800373736,0.0782650385503503,0.426566426458366
1019,Alabama,Cherokee County,AL,0.438543315024604,0.445059387249811,0.496124604416161,0.493427663578289,0.47687319742112,0.417564036659941,0.435948862632709,0.914181935554934,0.800727581296174,0.0768838908112264,0.466822285509401
1021,Alabama,Chilton County,AL,0.380471572373246,0.447207844929363,0.513748472409011,0.552867503928839,0.407029467281135,0.433478045822858,0.373428149640133,0.917447456899249,0.810564463407632,0.0757050918038993,0.39854210932258
1023,Alabama,Choctaw County,AL,0.680915071087317,0.349277431381338,0.423213997272904,0.440192004673145,0.422954283646135,0.454274948197982,0.382061662389861,0.903316687317236,0.776181232184189,0.0764605796436491,0.412952635247109
1025,Alabama,Clarke County,AL,0.638393871394216,0.335834901640127,0.491761735666363,0.520392008960386,0.411511804625023,0.420311945765493,0.374897127496665,0.911023993195719,0.787956538419616,0.0792702263447893,0.403185947793002
1027,Alabama,Clay County,AL,0.58019048545362,0.467601392238438,0.452793887307532,0.452138485025608,0.436717949257851,0.438423776152792,0.398622665215586,0.912769135990396,0.797498046761996,0.0767511034350413,0.427429706891434
1029,Alabama,Cleburne County,AL,0.489066537092803,0.429653254462619,0.44298482425853,0.421743134079398,0.422221710238195,0.402937524326389,0.381940629221568,0.904597324012773,0.785301431788982,0.073843284959935,0.4115668115691
1031,Alabama,Coffee County,AL,0.430971905768005,0.477336175105801,0.573895756935016,0.550744373724576,0.435024205759167,0.460808133534531,0.401979574602284,0.924039557524814,0.816790065130633,0.0805052334943639,0.427685903768616
1033,Alabama,Colbert County,AL,0.400136246642937,0.469131171262069,0.548447958811749,0.526478650600156,0.49180677461994,0.473422124925684,0.452738469264888,0.920561677123617,0.811016096652012,0.0792419559359645,0.482773820323379
1035,Alabama,Conecuh County,AL,0.628200425989478,0.305850414977626,0.432341165929393,0.46785183834706,0.380273906581527,0.604256822335186,0.342335651188159,0.900234397530943,0.773020891746356,0.0748129442573887,0.370568035640647
1037,Alabama,Coosa County,AL,0.566352567671614,0.490541956524529,0.410850956829603,0.421646318062928,0.405870169008489,0.406747460339491,0.368775334841041,0.908604186757385,0.79508318242455,0.0734041772198363,0.396015296710467
1039,Alabama,Covington County,AL,0.4582047877411,0.412257361745319,0.515857532002078,0.488585093208414,0.486639534409539,0.566894790150578,0.444387834948913,0.913176598954518,0.795078570689757,0.0784584902699309,0.476682398271741
1041,Alabama,Crenshaw County,AL,0.508964500699688,0.422843852916784,0.428010517809492,0.451086194357952,0.458264413014076,0.524699831370806,0.415475984806607,0.906629389076837,0.789129485860932,0.0741636997478119,0.44704321495045
1043,Alabama,Cullman County,AL,0.441408893814054,0.469286601164208,0.564027986012723,0.54489512405142,0.450913541270912,0.424280123575482,0.416188844289587,0.922990343373915,0.814442920023427,0.0804178228173885,0.443178743561219
1045,Alabama,Dale County,AL,0.363869460156894,0.424189872543075,0.55826601603701,0.609932193851995,0.425840800962958,0.39304389344886,0.392745370871653,0.922282153291873,0.817091202779168,0.0781549224215422,0.417990545756279
